Vardas              Pavarde             Galutinis (Vid.)    
-----------------------------------------------------------------------
Vardas1        Pavarde1        6.60
Vardas101      Pavarde101      8.40
Vardas102      Pavarde102      5.30
Vardas103      Pavarde103      5.90
Vardas109      Pavarde109      6.20
Vardas110      Pavarde110      5.60
Vardas111      Pavarde111      5.20
Vardas112      Pavarde112      5.80
Vardas113      Pavarde113      8.20
Vardas115      Pavarde115      8.10
Vardas117      Pavarde117      5.20
Vardas118      Pavarde118      5.70
Vardas120      Pavarde120      5.80
Vardas121      Pavarde121      5.10
Vardas124      Pavarde124      6.60
Vardas126      Pavarde126      8.60
Vardas127      Pavarde127      6.00
Vardas128      Pavarde128      5.50
Vardas129      Pavarde129      5.90
Vardas130      Pavarde130      6.50
Vardas131      Pavarde131      6.30
Vardas134      Pavarde134      6.40
Vardas14       Pavarde14       9.20
Vardas142      Pavarde142      8.30
Vardas145      Pavarde145      7.60
Vardas146      Pavarde146      8.40
Vardas150      Pavarde150      6.00
Vardas153      Pavarde153      7.10
Vardas154      Pavarde154      7.20
Vardas155      Pavarde155      7.20
Vardas157      Pavarde157      8.50
Vardas158      Pavarde158      6.70
Vardas159      Pavarde159      6.40
Vardas162      Pavarde162      5.00
Vardas163      Pavarde163      6.80
Vardas164      Pavarde164      7.10
Vardas165      Pavarde165      6.20
Vardas166      Pavarde166      7.30
Vardas167      Pavarde167      6.50
Vardas169      Pavarde169      5.60
Vardas17       Pavarde17       8.00
Vardas172      Pavarde172      7.10
Vardas174      Pavarde174      7.00
Vardas177      Pavarde177      7.30
Vardas178      Pavarde178      6.00
Vardas179      Pavarde179      5.90
Vardas18       Pavarde18       5.60
Vardas180      Pavarde180      5.00
Vardas182      Pavarde182      7.50
Vardas183      Pavarde183      5.70
Vardas187      Pavarde187      6.80
Vardas188      Pavarde188      8.10
Vardas189      Pavarde189      6.30
Vardas19       Pavarde19       7.00
Vardas191      Pavarde191      5.80
Vardas192      Pavarde192      6.30
Vardas194      Pavarde194      8.60
Vardas196      Pavarde196      5.60
Vardas197      Pavarde197      5.80
Vardas200      Pavarde200      5.70
Vardas203      Pavarde203      6.30
Vardas205      Pavarde205      6.30
Vardas206      Pavarde206      7.00
Vardas207      Pavarde207      8.00
Vardas208      Pavarde208      7.30
Vardas21       Pavarde21       9.00
Vardas210      Pavarde210      6.50
Vardas211      Pavarde211      7.00
Vardas214      Pavarde214      5.30
Vardas215      Pavarde215      5.20
Vardas216      Pavarde216      7.10
Vardas217      Pavarde217      6.90
Vardas218      Pavarde218      7.90
Vardas219      Pavarde219      6.00
Vardas22       Pavarde22       6.60
Vardas221      Pavarde221      7.70
Vardas222      Pavarde222      5.40
Vardas223      Pavarde223      6.90
Vardas227      Pavarde227      5.70
Vardas229      Pavarde229      7.00
Vardas230      Pavarde230      7.80
Vardas232      Pavarde232      7.40
Vardas234      Pavarde234      6.80
Vardas235      Pavarde235      7.80
Vardas236      Pavarde236      8.60
Vardas237      Pavarde237      5.50
Vardas238      Pavarde238      6.20
Vardas24       Pavarde24       7.30
Vardas242      Pavarde242      7.60
Vardas245      Pavarde245      5.50
Vardas249      Pavarde249      7.10
Vardas25       Pavarde25       6.60
Vardas250      Pavarde250      6.40
Vardas257      Pavarde257      7.00
Vardas258      Pavarde258      7.50
Vardas260      Pavarde260      5.50
Vardas261      Pavarde261      7.40
Vardas263      Pavarde263      5.00
Vardas266      Pavarde266      7.50
Vardas267      Pavarde267      6.80
Vardas268      Pavarde268      5.40
Vardas269      Pavarde269      9.10
Vardas27       Pavarde27       5.30
Vardas270      Pavarde270      6.20
Vardas272      Pavarde272      7.20
Vardas274      Pavarde274      5.40
Vardas278      Pavarde278      7.10
Vardas279      Pavarde279      5.20
Vardas28       Pavarde28       5.30
Vardas280      Pavarde280      5.60
Vardas281      Pavarde281      8.20
Vardas283      Pavarde283      5.40
Vardas285      Pavarde285      7.80
Vardas286      Pavarde286      6.00
Vardas287      Pavarde287      7.00
Vardas288      Pavarde288      8.40
Vardas289      Pavarde289      6.20
Vardas29       Pavarde29       6.00
Vardas290      Pavarde290      5.40
Vardas294      Pavarde294      6.70
Vardas295      Pavarde295      6.50
Vardas296      Pavarde296      6.30
Vardas297      Pavarde297      8.70
Vardas298      Pavarde298      5.90
Vardas3        Pavarde3        5.40
Vardas30       Pavarde30       6.20
Vardas301      Pavarde301      7.90
Vardas302      Pavarde302      7.10
Vardas303      Pavarde303      6.10
Vardas304      Pavarde304      7.20
Vardas305      Pavarde305      6.50
Vardas309      Pavarde309      7.20
Vardas31       Pavarde31       7.60
Vardas310      Pavarde310      5.80
Vardas311      Pavarde311      5.20
Vardas312      Pavarde312      5.30
Vardas313      Pavarde313      6.90
Vardas316      Pavarde316      6.30
Vardas317      Pavarde317      6.00
Vardas319      Pavarde319      9.50
Vardas32       Pavarde32       6.30
Vardas320      Pavarde320      8.00
Vardas323      Pavarde323      5.50
Vardas324      Pavarde324      7.50
Vardas326      Pavarde326      6.20
Vardas327      Pavarde327      6.00
Vardas328      Pavarde328      5.80
Vardas33       Pavarde33       6.80
Vardas330      Pavarde330      6.60
Vardas332      Pavarde332      7.40
Vardas333      Pavarde333      8.40
Vardas334      Pavarde334      7.40
Vardas335      Pavarde335      7.00
Vardas338      Pavarde338      6.70
Vardas339      Pavarde339      8.10
Vardas340      Pavarde340      6.50
Vardas343      Pavarde343      6.40
Vardas344      Pavarde344      6.60
Vardas345      Pavarde345      7.50
Vardas346      Pavarde346      7.80
Vardas347      Pavarde347      5.70
Vardas348      Pavarde348      8.10
Vardas35       Pavarde35       8.00
Vardas351      Pavarde351      6.40
Vardas352      Pavarde352      6.90
Vardas353      Pavarde353      8.70
Vardas355      Pavarde355      7.10
Vardas356      Pavarde356      8.40
Vardas358      Pavarde358      7.00
Vardas359      Pavarde359      5.70
Vardas36       Pavarde36       5.60
Vardas360      Pavarde360      7.40
Vardas361      Pavarde361      8.90
Vardas363      Pavarde363      7.80
Vardas366      Pavarde366      6.60
Vardas367      Pavarde367      6.20
Vardas37       Pavarde37       7.80
Vardas370      Pavarde370      7.10
Vardas371      Pavarde371      6.60
Vardas372      Pavarde372      9.10
Vardas377      Pavarde377      7.50
Vardas378      Pavarde378      7.90
Vardas38       Pavarde38       6.10
Vardas382      Pavarde382      8.80
Vardas383      Pavarde383      6.80
Vardas384      Pavarde384      8.10
Vardas385      Pavarde385      6.80
Vardas386      Pavarde386      7.20
Vardas388      Pavarde388      7.70
Vardas39       Pavarde39       5.50
Vardas390      Pavarde390      7.80
Vardas391      Pavarde391      8.40
Vardas392      Pavarde392      8.20
Vardas393      Pavarde393      8.30
Vardas395      Pavarde395      7.60
Vardas396      Pavarde396      7.80
Vardas398      Pavarde398      5.00
Vardas399      Pavarde399      6.00
Vardas4        Pavarde4        7.10
Vardas40       Pavarde40       6.60
Vardas400      Pavarde400      6.00
Vardas402      Pavarde402      7.80
Vardas404      Pavarde404      5.00
Vardas405      Pavarde405      5.60
Vardas406      Pavarde406      8.50
Vardas408      Pavarde408      8.60
Vardas410      Pavarde410      7.80
Vardas411      Pavarde411      6.80
Vardas412      Pavarde412      8.50
Vardas414      Pavarde414      5.70
Vardas415      Pavarde415      8.80
Vardas419      Pavarde419      5.40
Vardas42       Pavarde42       7.40
Vardas420      Pavarde420      7.40
Vardas423      Pavarde423      6.20
Vardas424      Pavarde424      5.90
Vardas425      Pavarde425      5.20
Vardas426      Pavarde426      7.90
Vardas429      Pavarde429      9.10
Vardas43       Pavarde43       5.90
Vardas430      Pavarde430      8.70
Vardas431      Pavarde431      5.80
Vardas433      Pavarde433      6.60
Vardas438      Pavarde438      5.40
Vardas44       Pavarde44       5.60
Vardas440      Pavarde440      7.40
Vardas445      Pavarde445      6.70
Vardas447      Pavarde447      8.30
Vardas448      Pavarde448      7.40
Vardas449      Pavarde449      5.70
Vardas454      Pavarde454      7.40
Vardas455      Pavarde455      7.40
Vardas457      Pavarde457      7.30
Vardas459      Pavarde459      6.40
Vardas46       Pavarde46       6.50
Vardas460      Pavarde460      6.20
Vardas461      Pavarde461      5.10
Vardas463      Pavarde463      7.30
Vardas464      Pavarde464      8.70
Vardas465      Pavarde465      6.20
Vardas466      Pavarde466      5.40
Vardas467      Pavarde467      5.50
Vardas468      Pavarde468      5.70
Vardas472      Pavarde472      5.00
Vardas476      Pavarde476      7.60
Vardas478      Pavarde478      7.80
Vardas48       Pavarde48       5.10
Vardas481      Pavarde481      6.60
Vardas484      Pavarde484      6.70
Vardas487      Pavarde487      5.80
Vardas488      Pavarde488      6.10
Vardas489      Pavarde489      8.10
Vardas49       Pavarde49       8.20
Vardas490      Pavarde490      7.80
Vardas493      Pavarde493      5.80
Vardas494      Pavarde494      8.60
Vardas496      Pavarde496      6.00
Vardas497      Pavarde497      6.90
Vardas499      Pavarde499      6.80
Vardas5        Pavarde5        6.90
Vardas500      Pavarde500      5.40
Vardas501      Pavarde501      7.50
Vardas502      Pavarde502      5.50
Vardas503      Pavarde503      8.00
Vardas504      Pavarde504      6.70
Vardas51       Pavarde51       6.10
Vardas512      Pavarde512      5.60
Vardas513      Pavarde513      6.00
Vardas515      Pavarde515      6.50
Vardas518      Pavarde518      7.00
Vardas520      Pavarde520      5.40
Vardas521      Pavarde521      7.70
Vardas522      Pavarde522      6.00
Vardas523      Pavarde523      6.20
Vardas526      Pavarde526      6.10
Vardas527      Pavarde527      6.10
Vardas530      Pavarde530      7.70
Vardas533      Pavarde533      7.30
Vardas534      Pavarde534      8.00
Vardas536      Pavarde536      7.40
Vardas537      Pavarde537      5.00
Vardas539      Pavarde539      7.90
Vardas54       Pavarde54       9.00
Vardas540      Pavarde540      6.20
Vardas541      Pavarde541      8.30
Vardas542      Pavarde542      5.40
Vardas543      Pavarde543      6.70
Vardas546      Pavarde546      7.00
Vardas547      Pavarde547      6.30
Vardas548      Pavarde548      5.10
Vardas551      Pavarde551      7.50
Vardas552      Pavarde552      6.80
Vardas553      Pavarde553      8.00
Vardas558      Pavarde558      6.90
Vardas559      Pavarde559      7.80
Vardas56       Pavarde56       5.90
Vardas560      Pavarde560      7.00
Vardas561      Pavarde561      6.00
Vardas562      Pavarde562      7.00
Vardas566      Pavarde566      7.00
Vardas567      Pavarde567      8.90
Vardas568      Pavarde568      7.60
Vardas569      Pavarde569      6.30
Vardas570      Pavarde570      7.60
Vardas571      Pavarde571      7.60
Vardas572      Pavarde572      5.70
Vardas573      Pavarde573      6.30
Vardas575      Pavarde575      6.30
Vardas576      Pavarde576      6.60
Vardas577      Pavarde577      6.10
Vardas578      Pavarde578      5.40
Vardas579      Pavarde579      7.00
Vardas58       Pavarde58       6.20
Vardas581      Pavarde581      5.80
Vardas583      Pavarde583      7.70
Vardas584      Pavarde584      5.80
Vardas585      Pavarde585      5.30
Vardas589      Pavarde589      7.20
Vardas59       Pavarde59       6.00
Vardas592      Pavarde592      7.30
Vardas593      Pavarde593      7.90
Vardas594      Pavarde594      5.00
Vardas596      Pavarde596      8.70
Vardas598      Pavarde598      5.70
Vardas60       Pavarde60       8.10
Vardas602      Pavarde602      5.40
Vardas603      Pavarde603      7.00
Vardas604      Pavarde604      9.00
Vardas605      Pavarde605      6.30
Vardas607      Pavarde607      7.90
Vardas608      Pavarde608      6.60
Vardas609      Pavarde609      5.30
Vardas61       Pavarde61       8.50
Vardas610      Pavarde610      6.20
Vardas613      Pavarde613      7.90
Vardas616      Pavarde616      5.80
Vardas619      Pavarde619      5.40
