Vardas              Pavarde             Galutinis (Vid.)    
------------------------------------------------------------
Vardas1        Pavarde1        6.60
Vardas10       Pavarde10       3.10
Vardas100      Pavarde100      4.90
Vardas1000     Pavarde1000     3.10
Vardas101      Pavarde101      8.40
Vardas102      Pavarde102      5.30
Vardas103      Pavarde103      5.90
Vardas104      Pavarde104      4.50
Vardas105      Pavarde105      3.10
Vardas106      Pavarde106      4.00
Vardas107      Pavarde107      4.70
Vardas108      Pavarde108      3.30
Vardas109      Pavarde109      6.20
Vardas11       Pavarde11       3.70
Vardas110      Pavarde110      5.60
Vardas111      Pavarde111      5.20
Vardas112      Pavarde112      5.80
Vardas113      Pavarde113      8.20
Vardas114      Pavarde114      4.80
Vardas115      Pavarde115      8.10
Vardas116      Pavarde116      4.80
Vardas117      Pavarde117      5.20
Vardas118      Pavarde118      5.70
Vardas119      Pavarde119      2.80
Vardas12       Pavarde12       3.50
Vardas120      Pavarde120      5.80
Vardas121      Pavarde121      5.10
Vardas122      Pavarde122      4.20
Vardas123      Pavarde123      3.30
Vardas124      Pavarde124      6.60
Vardas125      Pavarde125      4.80
Vardas126      Pavarde126      8.60
Vardas127      Pavarde127      6.00
Vardas128      Pavarde128      5.50
Vardas129      Pavarde129      5.90
Vardas13       Pavarde13       2.60
Vardas130      Pavarde130      6.50
Vardas131      Pavarde131      6.30
Vardas132      Pavarde132      2.60
Vardas133      Pavarde133      4.90
Vardas134      Pavarde134      6.40
Vardas135      Pavarde135      3.60
Vardas136      Pavarde136      3.10
Vardas137      Pavarde137      4.40
Vardas138      Pavarde138      2.70
Vardas139      Pavarde139      4.20
Vardas14       Pavarde14       9.20
Vardas140      Pavarde140      4.70
Vardas141      Pavarde141      4.30
Vardas142      Pavarde142      8.30
Vardas143      Pavarde143      1.80
Vardas144      Pavarde144      3.80
Vardas145      Pavarde145      7.60
Vardas146      Pavarde146      8.40
Vardas147      Pavarde147      3.10
Vardas148      Pavarde148      4.50
Vardas149      Pavarde149      3.70
Vardas15       Pavarde15       3.70
Vardas150      Pavarde150      6.00
Vardas151      Pavarde151      3.50
Vardas152      Pavarde152      4.70
Vardas153      Pavarde153      7.10
Vardas154      Pavarde154      7.20
Vardas155      Pavarde155      7.20
Vardas156      Pavarde156      4.30
Vardas157      Pavarde157      8.50
Vardas158      Pavarde158      6.70
Vardas159      Pavarde159      6.40
Vardas16       Pavarde16       4.80
Vardas160      Pavarde160      4.80
Vardas161      Pavarde161      4.80
Vardas162      Pavarde162      5.00
Vardas163      Pavarde163      6.80
Vardas164      Pavarde164      7.10
Vardas165      Pavarde165      6.20
Vardas166      Pavarde166      7.30
Vardas167      Pavarde167      6.50
Vardas168      Pavarde168      3.90
Vardas169      Pavarde169      5.60
Vardas17       Pavarde17       8.00
Vardas170      Pavarde170      4.50
Vardas171      Pavarde171      2.90
Vardas172      Pavarde172      7.10
Vardas173      Pavarde173      4.10
Vardas174      Pavarde174      7.00
Vardas175      Pavarde175      4.70
Vardas176      Pavarde176      3.20
Vardas177      Pavarde177      7.30
Vardas178      Pavarde178      6.00
Vardas179      Pavarde179      5.90
Vardas18       Pavarde18       5.60
Vardas180      Pavarde180      5.00
Vardas181      Pavarde181      3.20
Vardas182      Pavarde182      7.50
Vardas183      Pavarde183      5.70
Vardas184      Pavarde184      3.20
Vardas185      Pavarde185      4.10
Vardas186      Pavarde186      4.20
Vardas187      Pavarde187      6.80
Vardas188      Pavarde188      8.10
Vardas189      Pavarde189      6.30
Vardas19       Pavarde19       7.00
Vardas190      Pavarde190      3.30
Vardas191      Pavarde191      5.80
Vardas192      Pavarde192      6.30
Vardas193      Pavarde193      4.60
Vardas194      Pavarde194      8.60
Vardas195      Pavarde195      3.50
Vardas196      Pavarde196      5.60
Vardas197      Pavarde197      5.80
Vardas198      Pavarde198      3.80
Vardas199      Pavarde199      4.70
Vardas2        Pavarde2        1.70
Vardas20       Pavarde20       2.00
Vardas200      Pavarde200      5.70
Vardas201      Pavarde201      3.70
Vardas202      Pavarde202      3.20
Vardas203      Pavarde203      6.30
Vardas204      Pavarde204      4.10
Vardas205      Pavarde205      6.30
Vardas206      Pavarde206      7.00
Vardas207      Pavarde207      8.00
Vardas208      Pavarde208      7.30
Vardas209      Pavarde209      4.00
Vardas21       Pavarde21       9.00
Vardas210      Pavarde210      6.50
Vardas211      Pavarde211      7.00
Vardas212      Pavarde212      3.90
Vardas213      Pavarde213      2.20
Vardas214      Pavarde214      5.30
Vardas215      Pavarde215      5.20
Vardas216      Pavarde216      7.10
Vardas217      Pavarde217      6.90
Vardas218      Pavarde218      7.90
Vardas219      Pavarde219      6.00
Vardas22       Pavarde22       6.60
Vardas220      Pavarde220      2.60
Vardas221      Pavarde221      7.70
Vardas222      Pavarde222      5.40
Vardas223      Pavarde223      6.90
Vardas224      Pavarde224      4.40
Vardas225      Pavarde225      3.50
Vardas226      Pavarde226      3.10
Vardas227      Pavarde227      5.70
Vardas228      Pavarde228      3.80
Vardas229      Pavarde229      7.00
Vardas23       Pavarde23       4.80
Vardas230      Pavarde230      7.80
Vardas231      Pavarde231      2.40
Vardas232      Pavarde232      7.40
Vardas233      Pavarde233      3.60
Vardas234      Pavarde234      6.80
Vardas235      Pavarde235      7.80
Vardas236      Pavarde236      8.60
Vardas237      Pavarde237      5.50
Vardas238      Pavarde238      6.20
Vardas239      Pavarde239      3.70
Vardas24       Pavarde24       7.30
Vardas240      Pavarde240      4.70
Vardas241      Pavarde241      3.80
Vardas242      Pavarde242      7.60
Vardas243      Pavarde243      3.50
Vardas244      Pavarde244      3.50
Vardas245      Pavarde245      5.50
Vardas246      Pavarde246      4.00
Vardas247      Pavarde247      3.60
Vardas248      Pavarde248      3.40
Vardas249      Pavarde249      7.10
Vardas25       Pavarde25       6.60
Vardas250      Pavarde250      6.40
Vardas251      Pavarde251      3.50
Vardas252      Pavarde252      3.20
Vardas253      Pavarde253      4.10
Vardas254      Pavarde254      4.90
Vardas255      Pavarde255      3.40
Vardas256      Pavarde256      4.30
Vardas257      Pavarde257      7.00
Vardas258      Pavarde258      7.50
Vardas259      Pavarde259      4.80
Vardas26       Pavarde26       3.70
Vardas260      Pavarde260      5.50
Vardas261      Pavarde261      7.40
Vardas262      Pavarde262      4.00
Vardas263      Pavarde263      5.00
Vardas264      Pavarde264      4.40
Vardas265      Pavarde265      4.50
Vardas266      Pavarde266      7.50
Vardas267      Pavarde267      6.80
Vardas268      Pavarde268      5.40
Vardas269      Pavarde269      9.10
Vardas27       Pavarde27       5.30
Vardas270      Pavarde270      6.20
Vardas271      Pavarde271      3.20
Vardas272      Pavarde272      7.20
Vardas273      Pavarde273      2.60
Vardas274      Pavarde274      5.40
Vardas275      Pavarde275      4.80
Vardas276      Pavarde276      3.90
Vardas277      Pavarde277      3.30
Vardas278      Pavarde278      7.10
Vardas279      Pavarde279      5.20
Vardas28       Pavarde28       5.30
Vardas280      Pavarde280      5.60
Vardas281      Pavarde281      8.20
Vardas282      Pavarde282      4.40
Vardas283      Pavarde283      5.40
Vardas284      Pavarde284      3.70
Vardas285      Pavarde285      7.80
Vardas286      Pavarde286      6.00
Vardas287      Pavarde287      7.00
Vardas288      Pavarde288      8.40
Vardas289      Pavarde289      6.20
Vardas29       Pavarde29       6.00
Vardas290      Pavarde290      5.40
Vardas291      Pavarde291      4.70
Vardas292      Pavarde292      2.90
Vardas293      Pavarde293      4.80
Vardas294      Pavarde294      6.70
Vardas295      Pavarde295      6.50
Vardas296      Pavarde296      6.30
Vardas297      Pavarde297      8.70
Vardas298      Pavarde298      5.90
Vardas299      Pavarde299      3.40
Vardas3        Pavarde3        5.40
Vardas30       Pavarde30       6.20
Vardas300      Pavarde300      4.60
Vardas301      Pavarde301      7.90
Vardas302      Pavarde302      7.10
Vardas303      Pavarde303      6.10
Vardas304      Pavarde304      7.20
Vardas305      Pavarde305      6.50
Vardas306      Pavarde306      3.60
Vardas307      Pavarde307      2.90
Vardas308      Pavarde308      3.30
Vardas309      Pavarde309      7.20
Vardas31       Pavarde31       7.60
Vardas310      Pavarde310      5.80
Vardas311      Pavarde311      5.20
Vardas312      Pavarde312      5.30
Vardas313      Pavarde313      6.90
Vardas314      Pavarde314      3.60
Vardas315      Pavarde315      4.70
Vardas316      Pavarde316      6.30
Vardas317      Pavarde317      6.00
Vardas318      Pavarde318      4.30
Vardas319      Pavarde319      9.50
Vardas32       Pavarde32       6.30
Vardas320      Pavarde320      8.00
Vardas321      Pavarde321      1.90
Vardas322      Pavarde322      4.80
Vardas323      Pavarde323      5.50
Vardas324      Pavarde324      7.50
Vardas325      Pavarde325      4.00
Vardas326      Pavarde326      6.20
Vardas327      Pavarde327      6.00
Vardas328      Pavarde328      5.80
Vardas329      Pavarde329      4.90
Vardas33       Pavarde33       6.80
Vardas330      Pavarde330      6.60
Vardas331      Pavarde331      2.80
Vardas332      Pavarde332      7.40
Vardas333      Pavarde333      8.40
Vardas334      Pavarde334      7.40
Vardas335      Pavarde335      7.00
Vardas336      Pavarde336      4.40
Vardas337      Pavarde337      4.70
Vardas338      Pavarde338      6.70
Vardas339      Pavarde339      8.10
Vardas34       Pavarde34       4.00
Vardas340      Pavarde340      6.50
Vardas341      Pavarde341      4.80
Vardas342      Pavarde342      2.70
Vardas343      Pavarde343      6.40
Vardas344      Pavarde344      6.60
Vardas345      Pavarde345      7.50
Vardas346      Pavarde346      7.80
Vardas347      Pavarde347      5.70
Vardas348      Pavarde348      8.10
Vardas349      Pavarde349      3.00
Vardas35       Pavarde35       8.00
Vardas350      Pavarde350      2.80
Vardas351      Pavarde351      6.40
Vardas352      Pavarde352      6.90
Vardas353      Pavarde353      8.70
Vardas354      Pavarde354      4.50
Vardas355      Pavarde355      7.10
Vardas356      Pavarde356      8.40
Vardas357      Pavarde357      4.90
Vardas358      Pavarde358      7.00
Vardas359      Pavarde359      5.70
Vardas36       Pavarde36       5.60
Vardas360      Pavarde360      7.40
Vardas361      Pavarde361      8.90
Vardas362      Pavarde362      3.90
Vardas363      Pavarde363      7.80
Vardas364      Pavarde364      3.20
Vardas365      Pavarde365      4.60
Vardas366      Pavarde366      6.60
Vardas367      Pavarde367      6.20
Vardas368      Pavarde368      4.60
Vardas369      Pavarde369      4.20
Vardas37       Pavarde37       7.80
Vardas370      Pavarde370      7.10
Vardas371      Pavarde371      6.60
Vardas372      Pavarde372      9.10
Vardas373      Pavarde373      3.80
Vardas374      Pavarde374      4.40
Vardas375      Pavarde375      3.00
Vardas376      Pavarde376      4.70
Vardas377      Pavarde377      7.50
Vardas378      Pavarde378      7.90
Vardas379      Pavarde379      2.10
Vardas38       Pavarde38       6.10
Vardas380      Pavarde380      3.80
Vardas381      Pavarde381      3.60
Vardas382      Pavarde382      8.80
Vardas383      Pavarde383      6.80
Vardas384      Pavarde384      8.10
Vardas385      Pavarde385      6.80
Vardas386      Pavarde386      7.20
Vardas387      Pavarde387      2.90
Vardas388      Pavarde388      7.70
Vardas389      Pavarde389      3.30
Vardas39       Pavarde39       5.50
Vardas390      Pavarde390      7.80
Vardas391      Pavarde391      8.40
Vardas392      Pavarde392      8.20
Vardas393      Pavarde393      8.30
Vardas394      Pavarde394      2.20
Vardas395      Pavarde395      7.60
Vardas396      Pavarde396      7.80
Vardas397      Pavarde397      3.00
Vardas398      Pavarde398      5.00
Vardas399      Pavarde399      6.00
Vardas4        Pavarde4        7.10
Vardas40       Pavarde40       6.60
Vardas400      Pavarde400      6.00
