Vardas             Pavarde                 ND1       ND2       ND3       ND4       ND5 Egzaminas
Vardas1             Pavarde1          10          7          5          8          6
Vardas2             Pavarde2          2          4          3          2          1
Vardas3             Pavarde3          6          3          8          7          5
Vardas4             Pavarde4          4          10          6          9          7
Vardas5             Pavarde5          10          6          1          4          8
Vardas6             Pavarde6          4          3          8          4          2
Vardas7             Pavarde7          8          4          6          10          7
Vardas8             Pavarde8          6          7          6          6          9
Vardas9             Pavarde9          7          7          10          4          5
Vardas10             Pavarde10          4          6          8          7          1
Vardas11             Pavarde11          2          8          6          9          2
Vardas12             Pavarde12          4          3          8          8          2
Vardas13             Pavarde13          7          1          2          10          1
Vardas14             Pavarde14          9          8          7          8          10
Vardas15             Pavarde15          8          4          6          7          2
Vardas16             Pavarde16          8          3          5          2          5
Vardas17             Pavarde17          10          5          3          8          9
Vardas18             Pavarde18          6          4          6          4          6
Vardas19             Pavarde19          1          3          8          10          8
Vardas20             Pavarde20          10          1          1          2          1
Vardas21             Pavarde21          5          9          7          9          10
Vardas22             Pavarde22          2          4          6          6          8
Vardas23             Pavarde23          5          9          8          2          4
Vardas24             Pavarde24          8          5          7          5          8
Vardas25             Pavarde25          3          4          10          7          7
Vardas26             Pavarde26          3          5          10          7          2
Vardas27             Pavarde27          7          1          6          9          5
Vardas28             Pavarde28          8          7          10          10          3
Vardas29             Pavarde29          9          8          3          4          6
Vardas30             Pavarde30          7          10          1          2          7
Vardas31             Pavarde31          3          2          10          1          10
Vardas32             Pavarde32          10          1          8          2          7
Vardas33             Pavarde33          2          9          6          9          7
Vardas34             Pavarde34          8          4          3          1          4
Vardas35             Pavarde35          5          9          9          3          9
Vardas36             Pavarde36          9          7          1          9          5
Vardas37             Pavarde37          10          4          7          3          9
Vardas38             Pavarde38          2          8          5          10          6
Vardas39             Pavarde39          3          5          10          1          6
Vardas40             Pavarde40          3          3          4          2          9
Vardas41             Pavarde41          10          10          10          1          3
Vardas42             Pavarde42          9          8          1          2          9
Vardas43             Pavarde43          2          4          9          2          7
Vardas44             Pavarde44          9          1          5          5          6
Vardas45             Pavarde45          9          3          3          5          2
Vardas46             Pavarde46          9          4          3          7          7
Vardas47             Pavarde47          5          6          3          9          1
Vardas48             Pavarde48          2          1          1          5          7
Vardas49             Pavarde49          10          8          9          1          9
Vardas50             Pavarde50          4          10          10          3          3
Vardas51             Pavarde51          7          5          1          6          7
Vardas52             Pavarde52          6          1          1          5          6
Vardas53             Pavarde53          1          2          3          4          3
Vardas54             Pavarde54          5          9          10          6          10
Vardas55             Pavarde55          8          5          10          5          1
Vardas56             Pavarde56          7          10          2          4          6
Vardas57             Pavarde57          1          2          5          2          1
Vardas58             Pavarde58          9          2          10          5          6
Vardas59             Pavarde59          7          9          6          8          5
Vardas60             Pavarde60          2          7          8          10          9
Vardas61             Pavarde61          10          6          7          8          9
Vardas62             Pavarde62          3          5          4          10          2
Vardas63             Pavarde63          1          4          2          10          7
Vardas64             Pavarde64          5          3          4          3          6
Vardas65             Pavarde65          2          7          6          8          1
Vardas66             Pavarde66          4          6          7          2          5
Vardas67             Pavarde67          2          9          5          7          1
