Vardas              Pavarde             Galutinis (Vid.)    
-----------------------------------------------------------------------
Vardas10       Pavarde10       3.10
Vardas100      Pavarde100      4.90
Vardas1000     Pavarde1000     3.10
Vardas104      Pavarde104      4.50
Vardas105      Pavarde105      3.10
Vardas106      Pavarde106      4.00
Vardas107      Pavarde107      4.70
Vardas108      Pavarde108      3.30
Vardas11       Pavarde11       3.70
Vardas114      Pavarde114      4.80
Vardas116      Pavarde116      4.80
Vardas119      Pavarde119      2.80
Vardas12       Pavarde12       3.50
Vardas122      Pavarde122      4.20
Vardas123      Pavarde123      3.30
Vardas125      Pavarde125      4.80
Vardas13       Pavarde13       2.60
Vardas132      Pavarde132      2.60
Vardas133      Pavarde133      4.90
Vardas135      Pavarde135      3.60
Vardas136      Pavarde136      3.10
Vardas137      Pavarde137      4.40
Vardas138      Pavarde138      2.70
Vardas139      Pavarde139      4.20
Vardas140      Pavarde140      4.70
Vardas141      Pavarde141      4.30
Vardas143      Pavarde143      1.80
Vardas144      Pavarde144      3.80
Vardas147      Pavarde147      3.10
Vardas148      Pavarde148      4.50
Vardas149      Pavarde149      3.70
Vardas15       Pavarde15       3.70
Vardas151      Pavarde151      3.50
Vardas152      Pavarde152      4.70
Vardas156      Pavarde156      4.30
Vardas16       Pavarde16       4.80
Vardas160      Pavarde160      4.80
Vardas161      Pavarde161      4.80
Vardas168      Pavarde168      3.90
Vardas170      Pavarde170      4.50
Vardas171      Pavarde171      2.90
Vardas173      Pavarde173      4.10
Vardas175      Pavarde175      4.70
Vardas176      Pavarde176      3.20
Vardas181      Pavarde181      3.20
Vardas184      Pavarde184      3.20
Vardas185      Pavarde185      4.10
Vardas186      Pavarde186      4.20
Vardas190      Pavarde190      3.30
Vardas193      Pavarde193      4.60
Vardas195      Pavarde195      3.50
Vardas198      Pavarde198      3.80
Vardas199      Pavarde199      4.70
Vardas2        Pavarde2        1.70
Vardas20       Pavarde20       2.00
Vardas201      Pavarde201      3.70
Vardas202      Pavarde202      3.20
Vardas204      Pavarde204      4.10
Vardas209      Pavarde209      4.00
Vardas212      Pavarde212      3.90
Vardas213      Pavarde213      2.20
Vardas220      Pavarde220      2.60
Vardas224      Pavarde224      4.40
Vardas225      Pavarde225      3.50
Vardas226      Pavarde226      3.10
Vardas228      Pavarde228      3.80
Vardas23       Pavarde23       4.80
Vardas231      Pavarde231      2.40
Vardas233      Pavarde233      3.60
Vardas239      Pavarde239      3.70
Vardas240      Pavarde240      4.70
Vardas241      Pavarde241      3.80
Vardas243      Pavarde243      3.50
Vardas244      Pavarde244      3.50
Vardas246      Pavarde246      4.00
Vardas247      Pavarde247      3.60
Vardas248      Pavarde248      3.40
Vardas251      Pavarde251      3.50
Vardas252      Pavarde252      3.20
Vardas253      Pavarde253      4.10
Vardas254      Pavarde254      4.90
Vardas255      Pavarde255      3.40
Vardas256      Pavarde256      4.30
Vardas259      Pavarde259      4.80
Vardas26       Pavarde26       3.70
Vardas262      Pavarde262      4.00
Vardas264      Pavarde264      4.40
Vardas265      Pavarde265      4.50
Vardas271      Pavarde271      3.20
Vardas273      Pavarde273      2.60
Vardas275      Pavarde275      4.80
Vardas276      Pavarde276      3.90
Vardas277      Pavarde277      3.30
Vardas282      Pavarde282      4.40
Vardas284      Pavarde284      3.70
Vardas291      Pavarde291      4.70
Vardas292      Pavarde292      2.90
Vardas293      Pavarde293      4.80
Vardas299      Pavarde299      3.40
Vardas300      Pavarde300      4.60
Vardas306      Pavarde306      3.60
Vardas307      Pavarde307      2.90
Vardas308      Pavarde308      3.30
Vardas314      Pavarde314      3.60
Vardas315      Pavarde315      4.70
Vardas318      Pavarde318      4.30
Vardas321      Pavarde321      1.90
Vardas322      Pavarde322      4.80
Vardas325      Pavarde325      4.00
Vardas329      Pavarde329      4.90
Vardas331      Pavarde331      2.80
Vardas336      Pavarde336      4.40
Vardas337      Pavarde337      4.70
Vardas34       Pavarde34       4.00
Vardas341      Pavarde341      4.80
Vardas342      Pavarde342      2.70
Vardas349      Pavarde349      3.00
Vardas350      Pavarde350      2.80
Vardas354      Pavarde354      4.50
Vardas357      Pavarde357      4.90
Vardas362      Pavarde362      3.90
Vardas364      Pavarde364      3.20
Vardas365      Pavarde365      4.60
Vardas368      Pavarde368      4.60
Vardas369      Pavarde369      4.20
Vardas373      Pavarde373      3.80
Vardas374      Pavarde374      4.40
Vardas375      Pavarde375      3.00
Vardas376      Pavarde376      4.70
Vardas379      Pavarde379      2.10
Vardas380      Pavarde380      3.80
Vardas381      Pavarde381      3.60
Vardas387      Pavarde387      2.90
Vardas389      Pavarde389      3.30
Vardas394      Pavarde394      2.20
Vardas397      Pavarde397      3.00
Vardas401      Pavarde401      3.50
Vardas403      Pavarde403      2.30
Vardas407      Pavarde407      3.70
Vardas409      Pavarde409      4.20
Vardas41       Pavarde41       4.90
Vardas413      Pavarde413      2.90
Vardas416      Pavarde416      2.20
Vardas417      Pavarde417      3.80
Vardas418      Pavarde418      2.40
Vardas421      Pavarde421      2.40
Vardas422      Pavarde422      4.60
Vardas427      Pavarde427      3.00
Vardas428      Pavarde428      3.30
Vardas432      Pavarde432      4.00
Vardas434      Pavarde434      4.50
Vardas435      Pavarde435      2.60
Vardas436      Pavarde436      3.80
